(HP)DrugLarge,(HP)药物大量
(HP)DrugMedium,(HP)药物中量
(HP)DrugSmall,(HP)药物小量
(HP)DrugXL,(HP)药物XL
(MP)DrugLarge,(MP)药物大量
(MP)DrugMedium,(MP)药物中量
(MP)DrugSmall,(MP)药物小量
(MP)DrugXL,(MP)药物XL
3rdEyeBracelet,三眼手镯
8TrigramWheel,八卦轮
AccuracyGem,准确度宝石
AccuracyOrb,精度球
AdamantineBelt,金刚腰带
AgilityGem,敏捷宝石
AgilityOrb,敏捷球
Amulet,护身符
AncientArmour(F),古代盔甲(女)
AncientArmour(M),古代盔甲(男)
AntidoteMarble,解毒玛瑙
ArmourBook(ACC),铠甲书(ACC)
ArmourBook(DC),铠甲书(DC)
ArmourBook(MC),铠甲书(MC)
ArmourBook(SC),铠甲书(SC)
ArmourCastTool,铸甲工具
AwakeningSoul0,觉醒的灵魂0
AwakeningSoul1,觉醒的灵魂1
AwakeningSoul2,觉醒的灵魂2
AwakeningSoul3,觉醒的灵魂3
BabyPigEgg,小猪蛋
BackStep,后撤步
BaekTaGlove,白塔手套
BeefDumpling,牛肉饺子
BeltOfDarkness,黑暗腰带
BeltOfStrength1,力量腰带1
BeltOfStrength2,力量腰带2
BeltOfStrength3,力量腰带3
BeltOfStrength4,力量腰带4
BeltOfStrength5,力量腰带5
BengalTiger,孟加拉虎
BichonToken,比熊令牌
BlackBoots,黑靴
BlackNecklace,黑色项链
BlackThread,黑线
BlackTigerArmour(F),黑虎盔甲(女)
BlackTigerArmour(M),黑虎盔甲(男)
Black铁手镯,黑铁手镯
BladeAvalanche,刀锋雪崩
BladesofVelocity,速度的刀刃
BlessedArmour,受祝福的盔甲
Blizzard,暴风雪
BlueDarkArmour(F),蓝色深色护甲(女)
BlueDarkArmour(M),蓝色深色护甲(男)
BlueFishingRod,蓝色鱼竿
BlueFoxBracelet,蓝狐狸手链
BlueRing,蓝戒指
BodyGlyph0,身心合一0
BodyGlyph1,身心合一1
BodyGlyph2,身心合一2
BodyGlyph3,身心合一3
BokMaWheel,福马轮
Bone,骨头
BoneBroth,骨头汤
BoneDecapitator,骨质疏松器
BoneDumpling,骨头饺子
BoneHammer,骨锤
BoneHood,帽子
BoneRobe(F),骨骼之翼(女)
BoneRobe(M),骨骼之翼(男)
BoneRobe(男),骨骼之翼(男)
BoneRobe(女),骨骼之翼(女)
BookofMana,法力之书
BookofSpirit,精神之书
BootsOfDarkness,黑暗之靴
BootsOfStrength1,力量之靴1
BootsOfStrength2,力量之靴2
BootsOfStrength3,力量之靴3
BootsOfStrength4,力量之靴4
BootsOfStrength5,力量之靴5
BorderVillage,边境村
BraceletOfAgony,天体之镯
BracerOfMagic,法力手镯
BraveryGem,勇敢宝石
BraveryGlyph0,勇者之心0
BraveryGlyph1,勇者之心1
BraveryGlyph2,勇者之心2
BraveryGlyph3,勇者之心3
BraveryOrb,勇敢球
BronzeAxe,青铜斧
BronzeBelt,青铜腰带
BronzeChestnut,青铜板栗
BronzeGlove,青铜手套
BronzeHelmet,青铜头盔
BronzeSword,青铜剑
BrownChestnut,棕色栗子
BugBracelet,虫子手镯
BugEye,虫眼
BugLeg,虫腿
BugNecklace,虫子颈链
BugRing,虫子戒指
BugShell,虫壳
Candle,蜡烛
CannibalFruit,食人果
CannibalLeaf,食人叶
CastleGi-Ryoong,吉良城堡
CatTongue,猫头鹰
ChainBelt,链带
CheongboBelt(ARCH),清波腰带(ARCH)
CheongboBelt(ASSA),清波腰带(ASSA)
CheongboBelt(TAO),清波腰带(TAO)
CheongboBelt(WAR),清波腰带(WAR)
CheongboBelt(WIZ),清波腰带(WIZ)
CheongboBoots(ARCH),清波靴(ARCH)
CheongboBoots(ASSA),清波靴(ASSA)
CheongboBoots(TAO),清波靴(TAO)
CheongboBoots(WAR),清波靴(WAR)
CheongboBoots(WIZ),清波靴(WIZ)
Cherry,樱桃色
Chicken,鸡肉
ChickenBroth,鸡肉汤
ChickenDumpling,鸡肉饺子
CompoundBow,复合弓
Concentration,专注力
CopperRing,铜戒指
CounterAttack,反击
CraneArmour(F),仙鹤盔甲(女)
CraneArmour(M),仙鹤盔甲(男)
CresentSlash,裂缝
CrippleShot,残废射击
CrossHalfMoon,十字半月
CrystalArmour(F),水晶盔甲(女)
CrystalArmour(M),水晶盔甲(男)
Curse,诅咒
Dagger,匕首
DarkBody,黑暗之躯
DeathGauntlet,死亡护盾
DeerBlood,鹿血
DeerHorn,鹿角
DelayedExplosion,延迟爆炸
DisillusionGem,幻觉宝石
DisillusionOrb,幻觉球
DoubleShot,双响炮
DoubleSlash,双击
DragonBoots,龙靴
DragonBracelet,龙形手镯
DragonRobe(F),龙袍(女)
DragonRobe(M),龙袍(男)
DragonScale,龙鳞
DualTitan护身符,双天王护身符
Dumpling,饺子
DungeonEscape,地牢逃脱
DurabilityGem,耐用性宝石
DurabilityOrb,红色毒药
EbonyBow,乌木弓
EbonyBracelet,黑檀木手镯
EbonyFruit,乌木果实
EbonyNecklace,黑檀木项链
EbonySword,乌木剑
EggBroth,蛋汤
EggDumpling,鸡蛋饺子
ElectricShock,电击
ElementalBarrier,元素屏障
ElementalShot,元素射击
Enchanted护身符,魔法护身符
EnduranceGem,耐力宝石
EnduranceOrb,耐力球
EnergyRepulsor,能量反击器
EnergyShield,能量护盾
Entrapment,禁锢
EvadeBracelet,躲避手镯
EvasionMarble,躲避玛瑙
EvilApeHeart,恶猿之心
EvilApeOil,恶猿油
EvilDragonBracelet,恶龙手镯
EvilSlayerGem,屠龙宝典
EvilSlayerGlyph0,邪恶的杀手锏0
EvilSlayerGlyph1,邪恶的杀手锏1
EvilSlayerGlyph2,邪恶的杀手锏2
EvilSlayerGlyph3,邪恶的杀手锏3
EvilSlayerOrb,绿毒
EvilWhisp护身符,诅咒护身符
ExplosiveTrap,爆炸性陷阱
FastMove,快速移动
FatalSword,致命之剑
Fencing,击剑
FireBall,火球
FireBang,火焰弹
FireBurst,火焰喷射
FireWall,火墙
FishBait,鱼饵
FishDetector,探鱼器
FishingFloat,渔船
FishingHook,钓钩
FishingReel,钓鱼卷轴
FiveElement护身符,五元素护身符
FiveStringBracelet,五线谱手镯
FlameDisruptor,火焰破坏者
FlameField,火焰场
FlamingGrasp,火焰抓手
FlamingSword,火焰之剑
FlashDash,闪光冲刺
Focus,焦点
FocusMarble,焦点玛瑙
FreezingGem,冰冻宝石
FreezingOrb,冰冻球
FrostCrunch,寒霜紧缩
Fury,怒击
GlassRing,玻璃戒指
GoldBelt,金腰带
GoldBracelet,金质手镯
GoldDarkArmour(F),金色深色护甲(女)
GoldDarkArmour(M),金色深色护甲(男)
GoldenDragonBrace,金色龙凤镯
GoldNecklace,黄金项链
GoldPatternBoots,金纹靴
GreatBlueFoxBrace,巨大的蓝狐手镯
GreatFireBall,大火球
GreatPurpleFoxBrace,大紫狐狸的手镯
GreatRedFoxBrace,大红狐抱枕
GreenDarkArmour(F),绿色深色护甲(女)
GreenDarkArmour(M),绿色深色护甲(男)
GreenPoison,绿毒
HalfMoon,半月形
Hallucination,幻觉
HangMaWheel,吊马轮
HardGlove,硬手套
Haste,障碍物
HavocCrystal,浩劫水晶
Healing,疗伤
HealingCircle,治愈圈
HeavenArmour(F),天堂之铠(女)
HeavenArmour(M),天堂之铠(男)
HeavenlySword,天堂之剑
HeavyArmour(F),重装甲(女)
HeavyArmour(M),重装甲(男)
HellFire,地狱之火
Hemorrhage,出血
HerbalTea,草药茶
HexagonalRing,六角戒指
Hiding,躲藏
HoaSword,剑侠情缘
HolyTaoWheel,圣道轮
HookedSword,钩状剑
HornRing,喇叭戒指
HwanDevilBracelet,恶魔手镯
IceMarble,冰石
IceStorm,冰风暴
IceThrust,冰刺
ImmortalSkin,不朽的皮肤
IronArmour(F),铁甲(女)
IronArmour(M),铁甲(男)
IronBracelet,铁手镯
IronRing,铁戒指
IronSword,铁剑
JadeCrystal,翡翠水晶
KittenEgg,小猫蛋
KnightBracelet,骑士手镯
LargeBone,大骨
LargeBracelet,大手镯
LeanMeat,瘦肉精
LeatherBelt,皮腰带
LeatherBoots,皮靴
LeatherGlove,皮手套
LightArmour(F),轻甲(女)
LightArmour(M),轻甲(男)
LightArmour(男),轻甲(男)
LightArmour(女),轻甲(女)
LightBody,轻功
LightLeatherArmour(F),轻质皮甲(女)
LightLeatherArmour(M),轻质皮甲(男)
Lightning,闪电
LightTemperedArmour(F),轻质护甲(女)
LightTemperedArmour(M),轻质护甲(男)
LionRoar,狮子吼
LotusArmour(F),莲花盔甲(女)
LotusArmour(M),莲花盔甲(男)
LowShoes,低帮鞋
LunarBracelet,月牙形手镯
MaggotPill,蛆虫药丸
MagicBooster,魔力助推器
MagicBracelet,魔法手镯
MagicGem,魔法宝石
MagicGlyph0,魔法精灵0
MagicGlyph1,魔法精灵1
MagicGlyph2,魔法精灵2
MagicGlyph3,魔法精灵3
MagicHelmet,双闸刀
MagicOrb,魔法之球
MagicRobe(F),魔法之袍(女)
MagicRobe(M),魔法之袍(男)
MagicShield,魔法盾
Mandible,下颌骨
MassHealing,大规模治疗
MassHiding,大规模躲藏
Meat,肉类
MeatSoup,肉汤
Meditation,冥想
MediumArmour(F),中型护甲(女)
MediumArmour(M),中型护甲(男)
MeteorStrike,流星打击
MirArmour(F),盔甲(女)
MirArmour(M),铠甲(男)
MirBelt,腰带
MirBoots,米尔靴
Mirroring,镜像
MirWheel,米尔轮
MonkBracelet,和尚手链
MoonLight,月光
MoonMist,月雾
MossyBox,苔藓盒
MPEater,猎手
MundaneGlove,俗世手套
Mushroom,蘑菇
MysteryWheel,神秘的轮子
NapalmShot,汽油弹
NephriteBelt,翡翠腰带
NephriteBelt(H),翡翠腰带(H)
NephriteBracelet,翡翠手镯
NephriteBracelet(H),翡翠手镯(H)
NephriteNecklace,翡翠链
NephriteNecklace(H),翡翠链(H)
NephriteRing,翡翠戒指
NephriteRing(H),翡翠戒指(H)
NephriteShoes,翡翠鞋
NephriteShoes(H),翡翠鞋(H)
NokChiWheel,戒指待查
OmaKingRobe(F),奥马王袍(女)
OmaKingRobe(M),沃玛王袍(男)
OneWithNature,与自然同在
PearlArmour(F),珍珠盔甲(女)
PearlArmour(M),珍珠盔甲(男)
Peddler火炬,小贩火炬
PickAxe,镐头
Plague,瘟疫
PoisonCloud,毒云
PoisonGem,毒药宝石
Poisoning,中毒
PoisonMarble,毒药玛瑙
PoisonOrb,毒药球
PoisonShot,毒药射击
PoisonSword,毒剑
Portal,传送门
Prajna Island,般若岛
PrecisionNecklace,精准项链
PremiumBait,复活护身符
PremiumFinder,小贩火炬
PremiumFloat,高级浮筒
PremiumReel,绿毒
ProtectionField,保护场
ProtectionGem,保护宝石
ProtectionGlyph0,灵魂保护0
ProtectionGlyph1,灵魂保护1
ProtectionGlyph2,灵魂保护2
ProtectionGlyph3,灵魂保护3
ProtectionOrb,小贩火炬
Purification,净化
PurityBracelet,纯洁手镯
PurpleFoxBracelet,紫色狐狸的手链
Rage,愤怒
RaidersArmour(F),突击队员装甲(女)
RaidersArmour(M),突击者护甲(男)
RaidersBoots,突击者之靴
RaidersBoots1,突击队靴1
RaidersBoots2,突击队靴2
RaidersBoots3,突击队靴3
RaidersBoots4,突击队靴4
RaidersBoots5,突击者之靴5
RaidersGlove,突击者手套
RandomTeleport,随机传送卷
RawMeat,生肉
RecallBracelet,纪念品
RedDarkArmour(F),红色黑暗盔甲(女)
RedDarkArmour(M),红色黑暗盔甲(男)
RedEyeSkull,红眼骷髅头
RedFishingRod,红色鱼竿[6M]
RedFlowerBracelet,红花手镯
RedFoxBracelet,红狐狸手链
RedJadeBelt,红玉腰带
RedJadeBelt(H),红玉腰带(H)
RedJadeBracelet,红玉手镯
RedJadeBracelet(H),红玉手镯(H)
RedJadeNecklace,红玉项链
RedJadeNecklace(H),红玉项链(H)
RedJadeRing,红玉戒指
RedJadeRing(H),红玉戒指(H)
RedJadeShoes,红玉鞋
RedJadeShoes(H),红玉鞋(H)
RedMoonChip,红月亮芯片
RedOrchidBracelet,红兰花手镯
RedPoison,红色毒药
RedScaleBoots,红鳞鞋
RedThread,红线
Reincarnation,转世
RelicArmour(F),遗迹盔甲(女)
RelicArmour(M),遗迹盔甲(男)
RepairOil,修复油
Repulsion,斥力
Revelation,启示
RockBass,石鲈鱼
RottenShoes,腐烂的鞋子
RoyalArmour(F),皇家盔甲(女)
RoyalArmour(M),皇家盔甲(男)
RustyArmour,锈迹斑斑的盔甲
SacredAngel护身符,神圣护身符
Saddle,鞍座
ScaledArmour(M),鳞甲(男)
Scimitar,弯刀
ScorpionTail,蝎子的尾巴
SerpentValley,蛇谷
SerpentValley,蛇谷
SewingGoods,缝制物品
SharpBracelet,锋利的手镯
SharpHoaSword,锋利的华剑
SharpHoaSword,锋利的华剑
ShortBow,短弓
ShortBow,短弓
ShortSword,短剑
ShortSword,短剑
ShoulderDash,肩部冲刺
SilkBoots,丝绸靴
SilverBracelet,银手镯
SilverBracelet,银手镯
SilverBracelet,银手镯
SilverChestnut,银色七叶树
SkyStingerEgg,天鹅蛋
SlashingBurst,斩击爆裂
Slaying,杀人
Slaying,杀人
SmashWheel,碎轮链
SoulArmour(F),灵魂护甲(女)
SoulArmour(F),灵魂护甲(女)
SoulArmour(M),灵魂护甲(男)
SoulArmour(M),灵魂护甲(男)
SoulFireBall,灵魂火球
SoulGem,灵魂宝石
SoulGlyph0,灵魂精灵0
SoulGlyph1,灵魂精灵1
SoulGlyph2,灵魂精灵2
SoulGlyph3,灵魂精灵3
SoulOrb,复活护身符
SoulShield,灵魂盾牌
SoulSpringBracelet,灵魂之泉手镯
SparklingBelt,闪亮的腰带
SparklingBoots,闪光的鞋子
SpellBracelet,咒语手镯
SpiderTeeth,蜘蛛牙
SpiderWeb,蜘蛛网
SpiritBracelet,精神手镯
SpiritReformer,灵魂改造者
SpiritSword,精神之剑
SpiritSword,精神之剑
StealthArmour(F),隐形盔甲(女)
StealthArmour(F),隐形盔甲(女)
StealthArmour(M),隐形盔甲(男)
StealthArmour(M),隐形盔甲(男)
SteelArmour(F),钢制盔甲(女)
SteelArmour(F),钢制盔甲(女)
SteelArmour(M),钢制盔甲(男)
SteelArmour(M),钢制盔甲(男)
SteelBelt,钢带
SteelBracelet,钢制手镯
SteelBracelet,钢制手镯
SteelBracelet,钢制手镯
SteelGauntlet,炼金术士
SteelGlove,钢手套
StoneTrap,石头陷阱
StormEscape,风暴逃逸
StormGem,风暴宝石
StormOrb,风暴球
StraightShot,直击
StrainBracelet,应变手镯
String,字符串
StuddedArmour(F),铆钉盔甲(女)
StuddedArmour(F),铆钉盔甲(女)
StuddedArmour(M),铆钉盔甲(男)
StuddedArmour(M),铆钉盔甲(男)
SummonHolyDeva,召唤圣德瓦
SummonShinsu,召唤神术
SummonSkeleton,召唤骷髅
SummonSnakes,召唤蛇类
SummonToad,召唤蟾蜍
SummonVampire,召唤吸血鬼
SurvivalBracelet,生存手镯
SwiftFeet,迅捷脚步
SwordFish,剑鱼
TaoistSchool,道教之家
TaoistSchool,道教之家
TaoPowerBracelet,道力手镯
TaoProtectBracelet,道护手镯
TarragonArmour(F),龙蒿甲(女)
TarragonArmour(F),龙蒿甲(女)
TarragonArmour(M),龙蒿甲(男)
TarragonArmour(M),龙蒿甲(男)
TarragonBelt,沙龙腰带
TarragonBoots,塔拉贡靴
TarragonBracelet,塔拉贡手镯
Teleport,传送
TeleportHome,传送首页
TeleportHome,传送首页
TeleportHome,传送首页
TeleportHome,传送首页
TemperedArmour(F),钢化盔甲(女)
TemperedArmour(F),钢化盔甲(女)
TemperedArmour(M),钢化盔甲(男)
TemperedArmour(M),钢化盔甲(男)
ThinBracelet,瘦手镯
ThinBracelet,瘦手镯
ThinBracelet,瘦手镯
Thrusting,刺杀
ThunderBolt,霹雳火
ThunderStorm,雷霆风暴
Timber,木材
TitanArmour(F),泰坦巨人盔甲(女)
TitanArmour(F),泰坦巨人盔甲(女)
TitanArmour(M),泰坦巨人盔甲(男)
TitanArmour(M),泰坦巨人盔甲(男)
Torch,火炬
Torch,火炬
TownTeleport,城镇传送阵
TownTeleport,城镇传送阵
TownTeleport,城镇传送阵
TownTeleport,城镇传送阵
Translucent,半透明的
Trap,陷阱
TrapHexagon,陷阱六边形
Trident,三叉戟
Trident,三叉戟
Trout,鳟鱼
TurnUndead,亡灵转化
TwinDrakeBlade,双闸刀
UltimateEnhancer,终极强化器
VampireShot,吸血鬼射击
Vampirism,吸血术
Walleye,红色毒药
WhiteGoldBelt,白金腰带
WhiteGoldBelt,白金腰带
WhiteGoldBelt(H),白金腰带(H)
WhiteGoldBelt(H),白金腰带(H)
WhiteGoldBracelet,白金手镯
WhiteGoldBracelet,白金手镯
WhiteGoldBracelet(H),白金手镯(H)
WhiteGoldBracelet(H),白金手镯(H)
WhiteGoldNecklace,白金项链
WhiteGoldNecklace(H),白金项链(H)
WhiteGoldRing,白金戒指
WhiteGoldRing(H),白金戒指(H)
WhiteGoldShoes,白金鞋
WhiteGoldShoes,白金鞋
WhiteGoldShoes(H),白金鞋(H)
WhiteGoldShoes(H),白金鞋(H)
WhiteJadeRing,白玉戒指
WhiteJadeRing,白玉戒指
WhiteJadeRing,白玉戒指
WhiteThread,白线
WhiteThread,白线
WildTitan护身符,野生泰坦护身符
WillMarble,意志玛瑙
WindMarble,风卵石
WitchRobe(F),巫师袍(女)
WitchRobe(F),巫师袍(女)
WizardRobe(M),巫师之袍(男)
WizardRobe(M),巫师之袍(男)
WonderBox(H),神奇宝盒(S)
WonderBox(L),神奇宝盒(大)
WonderBox(M),神奇宝盒(中)
WonderBox(S),神奇宝盒(S)
WonderBox(男),神奇宝盒(中)
WoodenBow,木弓
WoodenBow,木弓
WoodenSword,木剑
WoodenSword,木剑
WoomaHorn,禾马角
WoomyonCamp,沃玛营地
WoomyonCamp,沃玛营地
YellowNecklace,黄色项链
YellowNecklace,黄色项链
ZerkSoup,鸡汤
ZumaRelic,祖玛乐
布衣(F),布衣(女)
布衣(M),布衣(男)
大手镯,大手镯
钢制手镯,钢制手镯
骨骼之翼(F),骨骼之翼(女)
骨骼之翼(M),骨骼之翼(男)
骨弓,骨弓
骨弓,骨弓
红色毒药,红色毒药
护身符OfRevival,复活护身符
金柜nut,金色七叶树
鳞甲(F),鳞甲(女)
鳞甲(F),鳞甲(女)
绿毒,绿毒
皮手套,皮手套
轻甲(F),轻甲(女)
轻甲(M),轻甲(男)
瘦手镯,瘦手镯
铁手镯,铁手镯
银手镯,银手镯
