8TrigramWheel,八卦轮
AccuracyGem,准确度宝石
AccuracyOrb,准确度Orb
AccuracyPotion,准确度药剂
AdamantineBelt,金刚腰带
AdamantineNecklace,金刚石项链
AdamantNecklace,金刚项链
AdamintineOre,金刚石矿
AdmissionOrb,入场券
AgilityGem,敏捷宝石
AgilityOrb,敏捷Orb
Algae,藻类
AmberNecklace,琥珀项链
AmberPendant,琥珀吊坠
Amethyst,紫水晶
AmethystNecklace,紫水晶项链
Amulet,护身符
AmuletOfRevival,复兴护身符
AncientArmour,古代盔甲
AncientBanga,古老的班加
AncientLeather,古代皮革
AncientScyther,古老的镰刀
AncientTree,古老的树
Antidote,解毒剂
AntidoteMarble,解毒石
Apple,苹果
ApusBow,阿普斯弓
ArmourBook,铠甲书
ArmourCastTool,铸甲工具
AwakeningSoul,觉醒的灵魂
BaboonLeather,狒狒皮
BabyDragonEgg,婴儿龙蛋
BabyPigEgg,小猪蛋
BackStep,后撤步
BaekdonEgg,白冬瓜蛋
BaekTaGlove,白塔手套
BambooPipe,竹管
BarbarianSword,野蛮人之剑
BastardSword,混蛋之剑
BatPoison,蝙蝠之毒
BatTeeth,蝙蝠的牙齿
BattleCry,战斗呐喊
BatWings,蝙蝠之翼
BeastLeather,野兽皮
Beef,牛肉
BeefDumpling,牛肉饺子
BeefRib,牛肉卷
BeltOfDarkness,黑暗腰带
BeltOfStrength,力量腰带
BenedictionOil,祝福油
BengalTiger,孟加拉虎
BichonTales,比熊的故事
BichonToken,比熊令牌
BindingShot,捆绑射击
BlackBoots,黑靴
BlackCreatureStone,黑色生物石
BlackCrystalPendant,黑水晶吊坠
BlackCrystalRing,黑水晶戒指
BlackDragonSlayer,屠龙刀
BlackDragonSoulSabre,黑龙魂之剑
BlackDragonStaff,黑龙杖
BlackIronBangle,黑铁手镯
BlackIronBelt,黑铁腰带
BlackIronBracelet,黑铁手套
BlackIronCrowSwords,黑铁乌鸦剑
BlackIronHelmet,黑铁头盔
BlackKittenEgg,黑猫蛋
BlackLeopard,黑豹
BlackMask,黑面具
BlackNecklace,黑色项链
BlackPearlRing,黑珍珠戒指
BlackRibbon,黑丝带
BlackRing,黑戒指
BlackThread,黑线
BlackTiger,黑虎
BlackTigerArmour,黑虎盔甲
BlackTigerHammer,黑虎之锤
BlackWolf,黑狼
BladeAvalanche,刀锋雪崩
BladeOfSorcery,巫术之刃
BladesOfDarkness,黑暗之刃
BladesOfMagi,玛吉之刃
BladesOfVelocity,速度的刀刃
BlessedArmour,受祝福的盔甲
Blink,眨眼
Blizzard,暴风雪
BloodPill,血丸
BloodStealerSword,血手剑
BloodThirstyBow,嗜血弓
BloodWine,血酒
BlueCrystalNecklace,蓝水晶项链
BlueDarkArmour,蓝色深色护甲
BlueFishingRod,蓝色鱼竿
BlueFoxBracelet,蓝狐狸手链
BlueFoxCollar,蓝色狐狸领
BlueFoxRing,蓝狐戒指
BlueJadeNecklace,蓝玉项链
BlueJadePendant,蓝玉吊坠
BlueOctagonalBox,蓝色八角形盒子
BluePill,蓝药
BlueRibbon,蓝丝带
BlueRing,蓝戒指
BlueThunderNecklace,蓝色雷霆项链
BlueTiger,蓝虎
BlueWolf,蓝狼
BluJadePendant,蓝吊坠
BoarTooth,野猪牙
BodyGlyph,身心合一
BokMaWheel,福马轮
Bone,骨头
BoneBow,骨弓
BoneBroth,骨头汤
BoneCarvedFan,骨刻扇
BoneDecapitator,骨质疏松器
BoneDumpling,骨头饺子
BoneHammer,骨锤
BoneHood,帽子
BoneRobe,骨骼之翼
BookofMana,法力之书
BookofSpirit,精神之书
BootsOfDarkness,黑暗之靴
BootsOfStrength,力量之靴
Bossy,霸道
BoundlessRing,无边无际指环
BowOfForce,力量之弓
BoxofHolyWater,圣水之盒
BraceletOfAgony,天体之镯
BracerOfMagic,法力手镯
BrassHelmet,黄铜头盔
BraveryGem,勇敢宝石
BraveryGlyph,勇者之心
BraveryOrb,勇敢宝藏
BrokenSword,破碎的剑
BronzeAxe,青铜斧
BronzeBell,铜铃
BronzeBelt,青铜腰带
BronzeChestnut,青铜板栗
BronzeGlove,青铜手套
BronzeHelmet,青铜头盔
BronzeHoaSword,青铜霍阿剑
BronzeShortSword,青铜短剑
BronzeStrap,铜带
BronzeSword,青铜剑
BronzeWarriorSword,青铜战士之剑
BrownChestnut,棕色栗子
BrownWolf,棕狼
BugBlood,虫血
BugBracelet,虫子手镯
BugEye,虫眼
BugLeg,虫腿
BugNecklace,虫子颈链
BugRing,虫子戒指
BugShell,虫壳
BugSpecimen,虫类标本
BurstSword,爆裂之剑
ButcheringBlades,屠宰刀
Candle,蜡烛
CannibalFruit,食人果
CannibalFruitTea,食人果茶
CannibalLeaf,食人叶
CannibalLeaves,大食人的叶子
CannibalPoison,食人毒物
CannibalSeed,食人花籽
CannibalStem,吃人的茎
CannibalWine,食人酒
CanniTea,坎尼茶
CatTognue,猫头鹰
CaveReport,洞穴报告
ChainBelt,链带
CharleySword,夏利剑
CharmRing,魅力戒指
CheongboBelt,清波腰带
CheongboBoots,清波靴
CheongboHelmet,清波头盔
Cherries,樱桃
Cherry,樱桃色
ChickEgg,小鸡蛋
Chicken,鸡肉
ChickenBroth,鸡肉汤
ChickenDumpling,鸡肉饺子
ClawNecklace,爪子项链
ClawPendant,爪形吊坠
CleanSkull,清洁的骷髅头
ClearRing,隐身戒指
CloudRing,云戒指
CompoundBow,复合弓
Concentration,专注力
ConquerorSpear,征服者之矛
ConvexLens,凸透镜
CookBook,烹饪书
CopperOre,铜矿石
CopperRing,铜戒指
CoralRing,珊瑚戒指
CorpsFlower,兵团之花
CostumeGirl,服装女郎
CounterAttack,反击
CraftingBook,工艺书
CraftRing,工艺戒指
CraneArmour,仙鹤盔甲
CreatureMirror,生物镜
CreatureNuts,生物坚果
CreditToken,信用令牌
CresentSlash,裂缝
CrimsonRubyRing,红宝戒指
CrippleShot,残废射击
CrossHalfMoon,十字半月
CrossPurified,净化的十字架
CrystalArmour,水晶盔甲
Curse,诅咒
CursedMaleficBow,诅咒恶灵弓
CuspidNecklace,残缺的项链
Dagger,匕首
DarkBody,黑暗之躯
DCStone,DC攻击石
DCTorch,DC Torch
DeathBow,死亡之弓
DeathGauntlet,死亡护盾
DeerBlood,鹿血
DeerHorn,鹿角
DeerMeat,鹿茸
DelayedExplosion,延迟爆炸
DemonicBells,恶魔的铃铛
DemonLeather,恶魔皮革
DemonMask,恶魔面具
DemonRubyRing,恶魔之戒
DemonShadow,恶魔之影
DestructionLiquor,毁灭之酒
DestructionWater,毁灭之水
DevilGirl,魔鬼女郎
Dice,骰子
DisillusionGem,幻觉宝石
DisillusionOrb,幻觉Orb
DollyMask,多利面具
DoubleBlades,双刃剑
DoubleShot,双响炮
DoubleSlash,双击
DragonBloodSword,龙血剑
DragonBoots,龙靴
DragonBracelet,龙形手镯
DragonNecklace,龙纹项链
DragonPendant,龙吊坠
DragonRing,龙戒
DragonRobe,龙袍
DragonScale,龙鳞
DragonSlayer,屠龙者
Dragon'sRoyalBlades,龙王刀
DragonStaff,龙杖
DragonSword,龙剑
DragonTorch,龙形火炬
DreadBow,恐惧之弓
DrugLarge,药物大量
DrugMedium,药物中量
DrugSmall,药物小量
DrugXL,药物XL
DualTitanAmulet,双天王护身符
Dumpling,饺子
DungeonEscape,地牢逃脱
DurabilityGem,耐用性宝石
DurabilityOrb,耐用性Orb
Ebony(Fruit),乌木果实
EbonyBangle,乌木手镯
EbonyBow,乌木弓
EbonyBracelet,黑檀木手镯
EbonyFruit,乌木果实
EbonyNecklace,黑檀木项链
EbonyPendant,乌木吊坠
EbonySword,乌木剑
EggBroth,蛋汤
EggDumpling,鸡蛋饺子
ElectricShock,电击
ElementalBarrier,元素屏障
ElementalShot,元素射击
ElixirOfDefensive,防御灵药
ElixirOfGinseng,人药
ElixirOfMight,威力药水
ElixirOfPhysical,物理灵药
ElkWoodenBow,麋鹿木弓
ElusionNecklace,幻影项链
EmeraldOre,绿宝石
EnchantedAmulet,魔法护身符
EnduranceGem,耐力宝石
EnduranceOrb,耐力Orb
EnergyRepulsor,能量反击器
EnergyShield,能量护盾
EnternalFlame,火焰
Entrapment,禁锢
EvadeBracelet,躲避手镯
EvasionMarble,躲避大理石
EvilApeHeart,恶猿之心
EvilApeOil,恶猿油
EvilDragonBracelet,恶龙手镯
EvilDragonRing,恶龙戒指
EvilExpelRing,驱邪戒指
EvilSlayerGem,屠龙宝典
EvilSlayerGlyph,邪恶的杀手锏
EvilSlayerOrb,屠魔球
EvilSlayerRing,邪恶杀手戒指
EvilTriangle,邪恶三角
EvilWhispAmulet,恶语护身符
ExorcistRing,驱魔人戒指
EXP,经验值
ExpelRing,驱逐戒指
ExplosiveTrap,爆炸性陷阱
ExtraDrop,额外掉落
EyeofGoldenSnake,金蛇之眼
FairyMoss,仙女苔藓
FanOfCrane,鹤鸣扇
FastMove,快速移动
FatalSword,致命之剑
Feather,羽毛
Fencing,击剑
FiendBow,恶魔之弓
FineIronArmour,精美铁甲
FireBall,火球
FireBang,火焰弹
FireBloodSword,火血剑
FireBurst,火焰喷射
FireConvexLens,火焰凸透镜
FireMagicRobe,火焰魔刃
FireRobe,火刃
FireWall,火墙
FishBait,鱼饵
FishDetector,探鱼器
FishingFloat,渔船
FishingHook,钓钩
FishingPackage,钓鱼包
FishingReel,钓鱼卷轴
FiveElementAmulet,五元素护身符
FiveElementRing,五元素戒指
FiveStringBracelet,五线谱手镯
FiveStringNecklace,五线谱项链
FiveStringRing,五线谱戒指
FlameDisruptor,火焰破坏者
FlameField,火焰场
FlameRing,火焰之环
FlamingGrasp,火焰抓手
FlamingMutant,火焰变种人
FlamingRedArmour,火焰红甲
FlamingSword,火焰之剑
FlashDash,闪光冲刺
Focus,焦点
FocusMarble,焦点大理石
Footballer,踢球者
Formal,正规
FreezingBlades,冷冻刀
FreezingGem,冰冻宝石
FreezingOrb,冰冻兽
FreshwaterClam,淡水蛤蜊
FrogEgg,青蛙蛋
FrostCrunch,寒霜紧缩
FrozenSabre,冰封之剑
FrozenStone,冰冻石
Fury,怒击
GaleNecklace,烈风项链
GalePotion,大风药水
GaleRing,大风戒指
GambleChip,赌博筹码
GatheringGlove,采集手套
GatheringTool,采集工具
GingerTea,姜茶
Ginseng,人参
GlassRing,玻璃戒指
Gobby,高比
GoldBar,金条
GoldBarBundle,金条捆绑
GoldBell,金钟
GoldBelt,金腰带
GoldBracelet,金质手镯
GoldBridle,金铃
GoldChest,金柜
GoldChestnut,金色七叶树
GoldDarkArmour,金色深色护甲
GoldDragonRing,金龙戒指
GoldenDragonBrace,金色龙凤镯
GoldenPendant,金吊坠
GoldenTiara,金色蒂亚拉
GoldNecklace,黄金项链
GoldOre,金矿
GoldPatternBoots,金纹靴
GoldRing,金戒指
GreatAxe,大斧头
GreatBlueFoxBrace,巨大的蓝狐手镯
GreatBlueFoxCollar,大蓝狐狸领
GreatBlueFoxRing,大蓝狐戒指
GreaterBoneHammer,大骨锤
GreaterSewingGoods,大缝纫机
GreatFireBall,大火球
GreatHelmet,伟大的头盔
GreatPurpleFoxBrace,大紫狐狸的手镯
GreatPurpleFoxCollar,大紫狐狸领
GreatPurpleFoxRing,大紫狐狸戒指
GreatRedFoxBrace,大红狐抱枕
GreatRedFoxCollar,大红狐狸领
GreatRedFoxRing,大红狐狸圈
GreenBead,绿珠
GreenBell,绿铃
GreenDarkArmour,绿色深色护甲
GreenHerb,绿草
GreenOctagonalBox,绿色八角形盒子
GreenPoison,绿毒
GrimBow,狰狞之弓
GTTeleport,呼叫中心
GuardianOrb,守护神
GuardRental,守卫出租
GymnasticsQueen,体操女王
HalfMoon,半月形
Hallucination,幻觉
HangMaWheel,吊马轮
HardenedRing,记忆戒指
HardGlove,硬手套
HardSteelSword,硬钢剑
HardTemperedArmour,硬钢盔甲
HardTorch,硬火炬
Haste,障碍物
HavocCrystal,浩劫水晶
Healing,疗伤
HealingCircle,治愈圈
HealingLetter,治愈字母
HealthStone,健康石
HealthWine,健康酒
HeartOfDead,亡灵之心
HeavenArmour,天堂之铠
HeavenlySword,天堂之剑
HeavenSword,创天之剑
HeavenWarrior,天堂战士
HeavyArmour,重装甲
HellFire,地狱之火
HellWarrior,地z鹗
HellYamaBlade,地狱山刀
HelmetOfDarkness,黑暗头盔
HelmetOfHero,英雄头盔
HelmetOfKings,国王头盔
HelmetOfSorcery,巫术头盔
Hemorrhage,出血
HerbalTea,草药茶
HeroNecklace,英雄项链
HexagonalRing,六角戒指
HiddenScroll,隐藏的卷轴
Hiding,躲藏
HoaSword,剑侠情缘
HolyBloodSpear,圣血之矛
HolyTaoWheel,圣道轮
HookedSpear,钩镰枪
HookedSword,钩状剑
HornRing,喇叭戒指
HwanDevilBracelet,恶魔手镯
HwanDevilNecklace,恶魔项链
HwanDevilRing,恶魔戒指
IceDragonSword,冰龙之剑
IceLeopard,冰豹
IceMarble,冰石
IceStorm,冰风暴
IceThrust,冰刺
ImmortalSkin,不朽的皮肤
ImpactDrug,解毒药水
Invitation,邀请函
IronArmour,铁甲
IronBlades,铁刀
IronBracelet,铁手镯
IronOre,铁矿石
IronRing,铁戒指
IronSword,铁剑
JadeCrystal,翡翠水晶
JadeNecklace,翡翠项链
JadeRing,玉环
JadeSnowRing,翡翠雪花戒指
JudgementMace,判决书
KeenKrissSword,强力剑
KittenEgg,小猫蛋
Knapsack,背包
KnightBracelet,骑士手镯
KnowledgeTorch,知识火炬
KrissSword,克利斯之剑
KunroonTear,鲲鹏之泪
Lantern,灯笼
LanternNecklace,灯笼项链
LargeBone,大骨
LargeBracelet,大手镯
LeanMeat,瘦肉精
LeatherArmour,皮甲
LeatherBelt,皮腰带
LeatherBoots,皮靴
LeatherBridle,皮脊柱
LeatherGlove,皮手套
LeatherMask,皮面具
LethalBow,致命之弓
LifeNecklace,生命项链
LightArmour,轻甲
