MagicInfo,MagicInfo.Name,MagicInfo.Spell,MagicInfo.BaseCost,MagicInfo.LevelCost,MagicInfo.Icon,MagicInfo.Level1,MagicInfo.Level2,MagicInfo.Level3,MagicInfo.Need1,MagicInfo.Need2,MagicInfo.Need3,MagicInfo.DelayBase,MagicInfo.DelayReduction,MagicInfo.PowerBase,MagicInfo.PowerBonus,MagicInfo.MPowerBase,MagicInfo.MPowerBonus,MagicInfo.MultiplierBase,MagicInfo.MultiplierBonus,MagicInfo.Range
剑术,剑术,Fencing,0,0,2,7,9,12,270,600,1300,1800,0,0,0,0,0,1,0,0
攻杀剑术,攻杀剑术,Slaying,0,0,6,15,17,20,500,1100,1800,1800,0,0,0,0,0,1,0,0
刺杀剑术,刺杀剑术,Thrusting,0,0,11,22,24,27,2000,3500,6000,1800,0,0,0,0,0,0.25,0.25,0
半月剑法,半月剑法,HalfMoon,3,0,24,26,28,31,5000,8000,14000,1800,0,0,0,0,0,0.3,0.1,0
野蛮冲撞,野蛮冲撞,ShoulderDash,4,4,26,30,32,34,3000,4000,6000,2500,0,0,0,4,0,1,0,0
TwinDrakeBlade,TwinDrakeBlade,TwinDrakeBlade,10,0,37,32,34,37,4000,6000,10000,1800,0,0,0,0,0,0.8,0.1,0
Entrapment,Entrapment,Entrapment,15,3,46,32,35,37,2000,3500,5500,1800,0,0,0,0,0,1,0,9
FlamingSword,FlamingSword,FlamingSword,7,0,25,35,37,40,2000,4000,6000,1800,0,0,0,0,0,1.4,0.4,0
LionRoar,LionRoar,LionRoar,14,4,42,36,39,41,5000,8000,12000,1800,0,0,0,0,0,1,0,9
CrossHalfMoon,CrossHalfMoon,CrossHalfMoon,6,0,33,38,40,42,7000,11000,16000,1800,0,0,0,0,0,0.4,0.1,0
BladeAvalanche,BladeAvalanche,BladeAvalanche,14,4,71,38,41,43,5000,8000,12000,1800,0,0,0,0,0,1,0.4,9
ProtectionField,ProtectionField,ProtectionField,23,6,50,39,42,45,6000,12000,18000,1800,0,0,0,0,0,1,0,0
Rage,Rage,Rage,20,5,49,44,47,50,8000,14000,20000,1800,0,0,0,0,0,1,0,0
CounterAttack,CounterAttack,CounterAttack,12,4,72,47,51,55,7000,11000,15000,24000,0,0,0,0,0,1,0,0
SlashingBurst,SlashingBurst,SlashingBurst,25,4,55,50,53,56,10000,16000,24000,14000,4000,3,0,1,0,3.25,0.25,0
怒击,怒击,Fury,10,4,76,45,48,51,1500,2500,4000,600000,120000,0,0,0,0,1,0,0
FireBall,FireBall,FireBall,3,2,0,7,9,11,200,350,700,1800,0,2,0,8,0,1,0,9
Repulsion,Repulsion,Repulsion,2,2,7,12,15,19,500,1300,2200,1800,0,0,0,4,0,1,0,0
ElectricShock,ElectricShock,ElectricShock,3,1,19,13,18,24,530,1100,2200,1800,0,0,0,0,0,1,0,9
GreatFireBall,GreatFireBall,GreatFireBall,5,1,4,15,18,21,2000,2700,3500,1800,0,10,0,6,0,1,0,9
HellFire,HellFire,HellFire,10,3,8,16,20,24,700,2700,3500,1800,0,6,0,14,0,1,0,0
ThunderBolt,ThunderBolt,ThunderBolt,9,2,10,17,20,23,500,2000,3500,1800,0,9,0,8,20,1,0,9
Teleport,Teleport,Teleport,10,3,20,19,22,25,350,1000,2000,1800,0,0,0,0,0,1,0,0
FireBang,FireBang,FireBang,14,4,22,22,25,28,3000,5000,10000,1800,0,8,0,8,0,1,0,9
FireWall,FireWall,FireWall,30,5,21,24,28,33,4000,10000,20000,1800,0,3,0,3,0,1,0,9
Lightning,Lightning,Lightning,38,7,9,26,29,32,3000,6000,12000,1800,0,12,0,12,0,1,0,0
FrostCrunch,FrostCrunch,FrostCrunch,15,3,38,28,30,33,3000,5000,8000,1800,0,12,0,12,0,1,0,9
ThunderStorm,ThunderStorm,ThunderStorm,29,9,23,30,32,34,4000,8000,12000,1800,0,10,20,10,20,1,0,0
MagicShield,MagicShield,MagicShield,35,5,30,31,34,38,3000,7000,10000,1800,0,0,0,0,0,1,0,0
TurnUndead,TurnUndead,TurnUndead,52,13,31,32,35,39,3000,7000,10000,1800,0,0,0,0,0,1,0,9
Vampirism,Vampirism,Vampirism,26,13,47,33,36,40,3000,5000,8000,1800,0,12,0,12,0,1,0,9
冰风暴,冰风暴,IceStorm,33,3,32,35,37,40,4000,8000,12000,1800,0,14,0,12,0,1,0,9
FlameDisruptor,FlameDisruptor,FlameDisruptor,28,3,34,38,40,42,5000,9000,14000,1800,0,9,0,15,20,1,0,9
Mirroring,Mirroring,Mirroring,21,0,41,41,43,45,6000,11000,16000,1800,0,0,0,0,0,1,0,0
FlameField,FlameField,FlameField,45,8,44,42,43,45,6000,11000,16000,1800,0,25,0,100,0,1,0,0
Blizzard,Blizzard,Blizzard,65,10,51,44,47,50,8000,16000,24000,1800,0,20,5,30,10,1,0,9
MagicBooster,MagicBooster,MagicBooster,150,15,73,47,51,55,12000,18000,24000,1800,0,0,0,0,0,1,0,0
MeteorStrike,MeteorStrike,MeteorStrike,115,17,52,49,52,55,15000,20000,25000,1800,0,20,15,40,10,1,0,9
IceThrust,IceThrust,IceThrust,100,20,56,53,56,59,17000,22000,27000,1800,0,50,0,100,0,1,0,0
Blink,Blink,FastMove,10,3,20,19,22,25,350,1000,2000,1800,0,0,0,0,0,1,0,0
Healing,Healing,Healing,3,2,1,7,11,16,150,350,700,1800,0,0,0,14,0,1,0,9
SpiritSword,SpiritSword,SpiritSword,0,0,3,9,12,15,350,1300,2700,1800,0,0,0,0,0,1,0,9
Poisoning,Poisoning,Poisoning,2,1,5,14,17,20,700,1300,2700,1800,0,0,0,0,0,1,0,9
SoulFireBall,SoulFireBall,SoulFireBall,3,1,12,18,21,24,1300,2700,4000,1800,0,3,0,8,0,1,0,9
SummonSkeleton,SummonSkeleton,SummonSkeleton,12,4,16,19,22,26,1000,2000,3500,1800,0,0,0,0,0,1,0,0
Hiding,Hiding,Hiding,1,1,17,20,23,26,1300,2700,5300,1800,0,0,0,0,0,1,0,9
MassHiding,MassHiding,MassHiding,2,2,18,21,25,29,1300,2700,5300,1800,0,0,0,0,0,1,0,9
SoulShield,SoulShield,SoulShield,2,2,13,22,24,26,2000,3500,7000,1800,0,0,0,0,0,1,0,9
Revelation,Revelation,Revelation,4,4,27,23,25,28,1500,2500,4000,1800,0,0,0,0,0,1,0,9
BlessedArmour,BlessedArmour,BlessedArmour,2,2,14,25,27,29,4000,6000,10000,1800,0,0,0,0,0,1,0,9
EnergyRepulsor,EnergyRepulsor,EnergyRepulsor,2,2,36,27,29,31,1800,2400,3200,1800,0,0,0,0,0,1,0,0
TrapHexagon,TrapHexagon,TrapHexagon,7,3,15,28,30,32,2500,5000,10000,1800,0,0,0,0,0,1,0,9
Purification,Purification,Purification,14,2,39,30,32,35,3000,5000,8000,1800,0,0,0,0,0,1,0,9
MassHealing,MassHealing,MassHealing,28,3,28,31,33,36,2000,4000,8000,1800,0,4,0,10,0,1,0,9
Hallucination,Hallucination,Hallucination,22,10,48,31,34,36,4000,6000,9000,1800,0,0,0,0,0,1,0,9
UltimateEnchancer,UltimateEnchancer,UltimateEnhancer,28,4,35,33,35,38,5000,7000,10000,1800,0,0,0,0,0,1,0,9
SummonShinsu,SummonShinsu,SummonShinsu,28,4,29,35,37,40,2000,4000,6000,1800,0,0,0,0,0,1,0,0
Reincarnation,Reincarnation,Reincarnation,125,17,53,37,39,41,2000,6000,10000,1800,0,0,0,0,0,1,0,9
SummonHolyDeva,SummonHolyDeva,SummonHolyDeva,28,4,40,38,41,43,4000,6000,9000,1800,0,0,0,0,0,1,0,0
Curse,Curse,Curse,17,3,45,40,42,44,4000,6000,9000,1800,0,0,0,20,0,1,0,9
Plague,Plague,Plague,20,5,74,42,44,47,8000,14000,20000,1800,0,0,0,0,0,1,0,9
PoisonCloud,PoisonCloud,PoisonCloud,30,5,54,43,45,48,4000,8000,12000,18000,2000,20,0,40,0,1,0,9
EnergyShield,EnergyShield,EnergyShield,50,20,57,48,51,54,5000,9000,13000,1800,0,0,0,0,0,1,0,0
PetEnhancer,PetEnhancer,PetEnhancer,30,40,78,45,48,51,4000,8000,12000,1800,0,0,0,0,0,1,0,9
FatalSword,FatalSword,FatalSword,0,0,58,7,9,12,500,1000,2300,1800,0,0,0,20,0,1,0,0
DoubleSlash,DoubleSlash,DoubleSlash,2,1,59,15,17,19,700,1500,2200,1800,0,0,0,0,0,0.8,0.1,0
Haste,Haste,Haste,3,2,60,20,22,25,2000,3000,6000,1800,0,0,0,0,0,1,0,0
FlashDash,FlashDash,FlashDash,12,2,61,25,27,30,4000,7000,9000,200,0,0,0,0,0,1,0,0
LightBody,LightBody,LightBody,11,2,68,27,29,32,5000,7000,10000,1800,0,0,0,0,0,1,0,0
HeavenlySword,HeavenlySword,HeavenlySword,13,2,62,30,32,35,4000,8000,10000,1800,0,0,0,8,0,1,0,0
FireBurst,FireBurst,FireBurst,10,1,63,33,35,38,4000,6000,8000,1800,0,0,0,4,0,1,0,0
Trap,Trap,Trap,14,2,64,33,35,38,2000,4000,6000,60000,15000,0,0,0,0,1,0,0
PoisonSword,PoisonSword,PoisonSword,14,3,69,34,36,39,5000,8000,11000,1800,0,0,0,0,0,1,0,0
MoonLight,MoonLight,MoonLight,36,3,65,36,39,42,3000,5000,8000,1800,0,0,0,20,0,1,0,0
MPEater,MPEater,MPEater,0,0,66,38,41,44,5000,8000,11000,1800,0,0,0,0,0,1,0,0
SwiftFeet,SwiftFeet,SwiftFeet,17,5,67,40,43,46,4000,6000,9000,210000,40000,0,0,0,0,1,0,0
DarkBody,DarkBody,DarkBody,40,7,70,46,49,52,6000,10000,14000,1800,0,0,0,20,0,1,0,0
Hemorrhage,Hemorrhage,Hemorrhage,0,0,75,47,51,55,9000,15000,21000,1800,0,0,0,0,0,0.2,0.05,0
CresentSlash,CresentSlash,CrescentSlash,19,5,71,50,53,56,12000,16000,24000,1800,0,0,0,0,0,1,0.4,0
Focus,Focus,Focus,0,0,88,7,23,38,5900,11800,17100,1800,0,0,0,0,0,1,0,0
StraightShot,StraightShot,StraightShot,3,2,89,9,12,15,3100,5800,8100,1800,0,3,0,8,0,1,0,9
DoubleShot,DoubleShot,DoubleShot,3,2,90,11,15,19,2900,5400,8100,1800,0,2,0,6,0,1,0,9
ExplosiveTrap,ExplosiveTrap,ExplosiveTrap,10,3,91,15,27,39,2900,6600,11100,1800,0,15,0,15,0,1,0,9
DelayedExplosion,DelayedExplosion,DelayedExplosion,8,2,92,31,34,39,4100,7800,11100,1800,0,15,0,30,0,1,0,9
Meditation,Meditation,Meditation,8,2,93,19,27,35,5500,10600,15900,1800,0,0,0,0,0,1,0,0
ElementalShot,ElementalShot,ElementalShot,8,2,94,19,24,29,5500,11400,17100,1800,0,3,0,6,0,1,0,9
Concentration,Concentration,Concentration,8,2,96,30,36,42,3500,7000,10500,1800,0,0,0,0,0,1,0,0
ElementalBarrier,ElementalBarrier,ElementalBarrier,10,2,98,37,42,47,4500,9000,12900,1800,0,5,0,15,0,1,0,9
BackStep,BackStep,BackStep,12,2,95,26,31,36,4900,9400,14100,2500,0,0,0,0,0,1,0,0
BindingShot,BindingShot,BindingShot,7,3,97,35,39,42,400,7000,9500,1800,0,0,0,0,0,1,0,9
SummonVampire,SummonVampire,SummonVampire,10,5,99,33,37,41,4100,8200,11100,1800,0,0,0,0,0,1,0,0
VampireShot,VampireShot,VampireShot,12,3,100,42,45,48,5100,9800,13500,1800,0,7,0,10,0,1,0,9
SummonToad,SummonToad,SummonToad,10,5,101,52,54,56,5500,10600,15300,1800,0,0,0,0,0,1,0,0
PoisonShot,PoisonShot,PoisonShot,10,4,102,50,53,56,7500,14200,20700,1800,0,10,0,10,0,1,0,9
CrippleShot,CrippleShot,CrippleShot,15,3,103,50,53,56,7100,13800,19500,1800,0,10,0,10,20,1,0,9
SummonSnakes,SummonSnakes,SummonSnakes,10,5,104,45,48,51,5100,9800,14100,1800,0,0,0,0,0,1,0,0
NapalmShot,NapalmShot,NapalmShot,40,10,105,60,61,62,6300,12200,17700,1800,0,25,0,25,25,1,0,9
OneWithNature,OneWithNature,OneWithNature,80,15,106,62,64,66,5700,11000,15900,1800,0,30,20,75,35,1,0,9
MentalState,MentalState,MentalState,1,1,81,11,15,22,500,900,1800,1800,0,0,0,0,0,1,0,9
Portal,Portal,150,3,2,1,7,11,14,150,350,700,1800,0,0,0,0,0,1,0,9
Blink,Blink,Blink,10,3,20,19,22,25,350,1000,2000,1800,0,0,0,0,0,1,0,9
Portal,Portal,Portal,3,2,1,7,11,14,150,350,700,1800,0,0,0,0,0,1,0,9
StormEscape,StormEscape,StormEscape,65,8,23,60,61,62,2200,3300,4400,1800,0,4,4,12,0,1,0,9
铁布衫,铁布衫,ImmortalSkin,10,4,80,60,61,62,1560,2200,3000,600000,120000,0,0,0,0,1,0,0
BattleCry,BattleCry,BattleCry,22,10,42,62,64,66,1000,1560,2200,1800,0,0,0,0,0,1,0,0
FireBounce,FireBounce,FireBounce,5,1,4,15,18,21,2000,2700,3500,1800,0,10,0,6,0,1,0,9
MeteorShower,MeteorShower,MeteorShower,28,1,4,50,53,56,1000,2000,3500,1800,0,10,0,6,0,1,0,9
HealingCircle,HealingCircle,HealingCircle,10,100,82,60,61,62,4400,7400,11700,1800,0,0,0,0,0,1,0,9
MoonMist,MoonMist,MoonMist,30,5,83,60,61,62,3650,5950,8800,20000,2000,0,0,0,0,1,0,9
CatTongue,CatTongue,CatTongue,30,5,79,48,51,56,10,20,30,20000,2000,0,0,0,0,1,0,9
StoneTrap,StoneTrap,Stonetrap,7,3,97,40,43,46,4900,9800,14100,1800,0,0,0,0,0,1,0,9
